"data.0.hovertext","data.0.marker.size","data.0.x","data.0.y","data.1.hovertext","data.1.marker.size","data.1.x","data.1.y","data.2.hovertext","data.2.marker.size","data.2.x","data.2.y","data.3.hovertext","data.3.marker.size","data.3.x","data.3.y","data.4.hovertext","data.4.marker.size","data.4.x","data.4.y"
"Afghanistan","31889923","974.5803384","43.828","Albania","3600523","5937.029525999999","76.423","Algeria","33333216","6223.367465","72.301","Argentina","40301927","12779.379640000001","75.32","Australia","20434176","34435.367439999995","81.235"
"Bahrain","708573","29796.048339999998","75.635","Austria","8199783","36126.4927","79.829","Angola","12420476","4797.231267","42.731","Bolivia","9119152","3822.1370840000004","65.554","New Zealand","4115771","25185.00911","80.204"
"Bangladesh","150448339","1391.253792","64.062","Belgium","10392226","33692.60508","79.441","Benin","8078314","1441.284873","56.728","Brazil","190010647","9065.800825","72.39","","","",""
"Cambodia","14131858","1713.7786859999999","59.723","Bosnia and Herzegovina","4552198","7446.298803","74.852","Botswana","1639131","12569.851770000001","50.728","Canada","33390141","36319.235010000004","80.653","","","",""
"China","1318683096","4959.1148539999995","72.961","Bulgaria","7322858","10680.79282","73.005","Burkina Faso","14326203","1217.032994","52.295","Chile","16284741","13171.63885","78.553","","","",""
"Hong Kong, China","6980412","39724.97867","82.208","Croatia","4493312","14619.222719999998","75.748","Burundi","8390505","430.07069160000003","49.58","Colombia","44227550","7006.580419","72.889","","","",""
"India","1110396331","2452.210407","64.69800000000001","Czech Republic","10228744","22833.30851","76.486","Cameroon","17696293","2042.0952399999999","50.43","Costa Rica","4133884","9645.06142","78.782","","","",""
"Indonesia","223547000","3540.6515640000002","70.65","Denmark","5468120","35278.41874","78.332","Central African Republic","4369038","706.016537","44.74100000000001","Cuba","11416987","8948.102923","78.273","","","",""
"Iran","69453570","11605.71449","70.964","Finland","5238460","33207.0844","79.313","Chad","10238807","1704.0637239999999","50.651","Dominican Republic","9319622","6025.374752000001","72.235","","","",""
"Iraq","27499638","4471.061906","59.545","France","61083916","30470.0167","80.657","Comoros","710960","986.1478792000001","65.152","Ecuador","13755680","6873.262326000001","74.994","","","",""
